[00:00:00,000 --> 00:00:03,180] 欢迎回到我们金贵的关系2.0的课堂
[00:32:45,200 --> 00:32:47,380] 我們的方式方法來進行回應
[00:32:47,380 --> 00:32:50,540] 然後她現在的號確實也是順利解封了
[00:32:50,540 --> 00:32:53,240] 但是我們講網紅是網紅
[00:32:53,240 --> 00:32:56,520] IP跟網紅它還是有著本質的區別的
[00:32:56,520 --> 00:32:57,900] 它的區別在哪裡呢
[00:32:57,900 --> 00:33:02,080] 就是IP它是靠價值觀來吸引粉絲的
[00:33:02,080 --> 00:33:03,960] 粉絲之所以喜歡一個IP
[00:33:03,960 --> 00:33:06,140] 除了更情你以外
[00:33:06,140 --> 00:33:08,120] 也是因為他在崇拜你
[00:33:08,120 --> 00:33:09,140] 以你為榜樣
[00:33:09,140 --> 00:33:11,140] 覺得你能給他力量
[00:33:11,140 --> 00:33:13,440] 一旦在面對外界的質疑的時候
[00:33:13,440 --> 00:33:15,180] 你選擇了示弱
[00:33:15,180 --> 00:33:16,740] 那麼很有可能
[00:33:16,740 --> 00:33:20,140] 你就在他們面前失去了力量感
[00:33:20,140 --> 00:33:23,260] 你就沒有辦法給到他們前進的方向了
[00:33:23,260 --> 00:33:23,720] 因為
[00:33:23,720 --> 00:33:28,020] 當你自己都對你自己的價值觀和行為產生動搖的時候
[00:33:28,020 --> 00:33:32,340] 粉絲又憑什麼去追隨你的價值觀和行為呢
[00:33:32,470 --> 00:33:35,410] 所以如果說你的生命終局是要成為一個IP
[00:33:35,410 --> 00:33:37,530] 成為一個精神領袖啊
[00:33:37,530 --> 00:33:39,090] 我們講KOL是吧
[00:33:39,090 --> 00:33:41,450] 那麼你在面對外界的質疑的時候
[00:33:41,450 --> 00:33:43,270] 你是不要示弱的
[00:33:43,270 --> 00:33:46,690] 最好呢就是一定要讓自己邏輯閉環
[00:33:46,690 --> 00:33:49,810] 把這個事是怎麼回事說清楚
[00:33:49,810 --> 00:33:52,310] 說圓說通說自洽
[00:33:52,310 --> 00:33:54,890] 說完了我們就像我們的偉大領袖一樣
[00:33:54,890 --> 00:33:56,350] 要有鬥爭精神
[00:33:56,350 --> 00:33:57,790] 你要像一個戰士一樣
[00:33:57,790 --> 00:34:00,610] 在精神上繼續去迎領你的粉絲
[00:34:00,610 --> 00:34:03,370] 不畏墻底越挫越勇
[00:34:03,370 --> 00:34:05,530] 哪怕是浮游翰樹
[00:34:05,530 --> 00:34:07,370] 你也要堅定不移
[00:34:07,370 --> 00:34:09,390] 那這個呢就是我關於
[00:34:09,390 --> 00:34:11,730] 示弱這件事情的小小的建議
[00:34:11,730 --> 00:34:14,510] 最後呢我要和大家轉念一下
[00:34:14,510 --> 00:34:17,270] 就是給到已經遭受質疑或者
[00:34:17,270 --> 00:34:20,110] 有可能遭受質疑的這樣一些
[00:34:20,110 --> 00:34:21,550] 保護我們一些安慰
[00:34:21,550 --> 00:34:24,470] 首先呢我還是希望大家放寬心
[00:34:24,470 --> 00:34:27,410] 一個人在成功和向上的道路上
[00:34:27,410 --> 00:34:29,550] 一定會遇到質疑和批評
[00:34:29,550 --> 00:34:31,550] 如果你不遇到這樣的事
[00:34:31,550 --> 00:34:33,830] 那麼你是不可能成功的
[00:34:33,830 --> 00:34:35,330] 因為一個人想要成功
[00:34:35,330 --> 00:34:36,230] 想要拿結果
[00:34:36,230 --> 00:34:39,390] 你要成為少數群體
[00:34:39,390 --> 00:34:40,070] 你想想看
[00:34:40,070 --> 00:34:42,050] 能成功的人當然是少數人
[00:34:42,050 --> 00:34:42,430] 對不對
[00:34:42,430 --> 00:34:44,950] 這就是為什麼大部分的人都是貧窮的人
[00:34:44,950 --> 00:34:46,730] 那麼少數群體
[00:34:46,730 --> 00:34:48,370] 就一定註定了
[00:34:48,370 --> 00:34:51,030] 他是會被大多數人所看不慣
[00:34:51,030 --> 00:34:51,770] 所dis的
[00:34:52,070 --> 00:34:53,050] 那麼這樣一看
[00:34:53,050 --> 00:34:54,530] 反而是件好事
[00:34:54,530 --> 00:34:56,990] 只有你成為了少數群體
[00:34:56,990 --> 00:34:58,330] 你才是離成功
[00:34:58,330 --> 00:34:59,510] 更加接近了
[00:35:01,660 --> 00:35:02,540] 好那以上呢
[00:35:02,540 --> 00:35:04,260] 就是今天这节课的全部内容
[00:35:04,260 --> 00:35:05,560] 这个呢是思维导图
[00:35:05,560 --> 00:35:08,840] 大家可以去找你们的群馆拿高清版本啊
[00:35:08,840 --> 00:35:10,520] 那今天这节课的作业呢
[00:35:10,520 --> 00:35:13,320] 就是请你把你曾经遭受过的质疑
[00:35:13,320 --> 00:35:14,140] 分享出来
[00:35:14,140 --> 00:35:17,140] 并且尝试运用今天学到的知识点
[00:35:17,140 --> 00:35:19,380] 想一想我们应该如何回应
[00:35:19,380 --> 00:35:22,400] 把你的回应分享到取之心平台上
[00:35:22,400 --> 00:35:25,200] 当然如果你一下子想不出如何回应
[00:35:25,200 --> 00:35:28,240] 也可以求助精贵社群里的姐妹
[00:35:28,240 --> 00:35:30,580] 让姐妹们为你答疑解惑
[00:35:30,580 --> 00:35:33,080] 并且给予你回应的勇气
[00:35:33,080 --> 00:35:35,080] 好了 我们今天的课程就到这里了
[00:35:35,080 --> 00:35:35,440] 下节课再见
